"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 01 04:46:15 GMT 2020","Thu Oct 01 04:46:15 GMT 2020","1","","io.qameta.allure.examples.junit4.AllureFixtureTest","","io.qameta.allure.examples.junit4.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Thu Oct 01 04:46:15 GMT 2020","Thu Oct 01 04:46:15 GMT 2020","29","","io.qameta.allure.examples.junit4.AllureSimpleTest","","io.qameta.allure.examples.junit4.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Thu Oct 01 04:46:15 GMT 2020","Thu Oct 01 04:46:15 GMT 2020","7","","io.qameta.allure.examples.junit4.AllureParameterizedTest","","io.qameta.allure.examples.junit4.AllureParameterizedTest","allureParameterizedTest[First Name]","allureParameterizedTest[First Name]","allureParameterizedTest description"
"passed","Thu Oct 01 04:46:15 GMT 2020","Thu Oct 01 04:46:15 GMT 2020","0","","io.qameta.allure.examples.junit4.AllureParameterizedTest","","io.qameta.allure.examples.junit4.AllureParameterizedTest","allureParameterizedTest[Second Name]","allureParameterizedTest[Second Name]","allureParameterizedTest description"
"passed","Thu Oct 01 04:46:15 GMT 2020","Thu Oct 01 04:46:15 GMT 2020","0","","io.qameta.allure.examples.junit4.AllureSimpleTest","","io.qameta.allure.examples.junit4.AllureSimpleTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Thu Oct 01 04:46:15 GMT 2020","Thu Oct 01 04:46:15 GMT 2020","16","","io.qameta.allure.examples.junit4.AllureFixtureTest","","io.qameta.allure.examples.junit4.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
