"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","1","","io.qameta.allure.examples.junit4.AllureParameterizedTest","","io.qameta.allure.examples.junit4.AllureParameterizedTest","allureParameterizedTest[Second Name]","allureParameterizedTest[Second Name]","allureParameterizedTest description"
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","39","","io.qameta.allure.examples.junit4.AllureSimpleTest","","io.qameta.allure.examples.junit4.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","0","","io.qameta.allure.examples.junit4.AllureFixtureTest","","io.qameta.allure.examples.junit4.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","1","","io.qameta.allure.examples.junit4.AllureSimpleTest","","io.qameta.allure.examples.junit4.AllureSimpleTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","7","","io.qameta.allure.examples.junit4.AllureParameterizedTest","","io.qameta.allure.examples.junit4.AllureParameterizedTest","allureParameterizedTest[First Name]","allureParameterizedTest[First Name]","allureParameterizedTest description"
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","14","","io.qameta.allure.examples.junit4.AllureFixtureTest","","io.qameta.allure.examples.junit4.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
